SOFIA_name,Coordinates,Property,R37,Lbol,alpha,R,env_mass,env_mass_std,calc_mass,sLsun,sLsun_std,Lbol,inc,ext,s
NGC2264.10,06h41m08.6s +09d35m42.1s,Isolated,1.30352296319,1.42702310642,2.23114519478,1.8721862793,2.91899991035,0.475142240524,,9.19999980927,1.9211691618,1.42702310642,18.6717185974,14.0,1.0
Oph.15,16h27m29.4s -24d39m16.6s,Isolated,1.25054744655,0.565568796112,0.0185361255601,1.12223621651,0.00400000018999,0.000699043797795,0.0191736726831,3.32999992371,0.410339981318,0.565568796112,26.525352478,14.0,1.0
NGC2264.8,06h41m06.1s +09d34m08.5s,Isolated,1.86537796148,1.37020265415,1.36658981203,0.583405315876,6.56799983978,2.24282455444,,163.200012207,52.8792915344,1.37020265415,26.525352478,2.0,0.850000023842
Oph.17,16h26m23.6s -24d24m39.4s,Isolated,0.955404403336,1.2867654215,-0.10328202569,1.20860745851,0.0010000000475,0.0,,5.25,0.646468579769,1.2867654215,80.9152832031,14.0,0.699999988079
Oph.19,16h26m30.5s -24d22m59.9s,Isolated,2.51018123838,1.24139481946,0.432337885734,0.840450995498,0.0010000000475,0.000639393168967,0.00852163230361,5.25,1.01970863342,1.24139481946,71.5915222168,14.0,0.699999988079
Oph.18,16h26m17.2s -24d23m45.1s,Isolated,1.18065378659,0.281604556425,0.557671321437,1.1511769712,0.00300000002608,0.00164219690487,0.0362169372903,2.83050012589,0.97155559063,0.281604556425,80.9152832031,14.0,0.850000023842
CepC.3,23h05m40.0s +62d29m16.2s,Isolated,1.04066825987,7.29664327728,-0.301872409355,1.8882880793,0.0010000000475,0.0,,111.058998108,21.3135929108,7.29664327728,50.8332901001,12.0,1.29999995232
IRAS20050.6,20h07m02.2s +27d30m26.0s,Isolated,1.40457965263,19.327547281,-0.338316422119,2.22185631924,0.00400000018999,0.0,,201.599990845,32.128288269,19.327547281,80.9152832031,14.0,0.699999988079
NGC2264.18,06h41m04.3s +09d34m59.3s,Isolated,1.37954874051,2.86813522165,0.798851966297,0.510914971431,0.00400000018999,0.00143074104562,,37.9700012207,7.07670354843,2.86813522165,42.5368995667,14.0,0.699999988079
NGC2264.17,06h41m06.8s +09d33m31.5s,Isolated,0.978400344819,1.21016899552,1.39038612687,1.24527870398,2.91899991035,0.879734158516,,10.3999996185,1.98362445831,1.21016899552,18.6717185974,14.0,1.29999995232
CepC.2,23h05m47.9s +62d30m38.6s,Isolated,0.0,0.650038616344,1.66694839141,0.794189920028,4.37900018692,0.869275152683,,134.399993896,44.5348434448,0.650038616344,26.525352478,14.0,0.699999988079
NGC7129.5,21h43m06.9s +66d06m42.1s,Isolated,0.0,12.4372654601,-0.132248329506,1.31653554241,0.00700000021607,0.00325110508129,,201.599990845,28.5738010406,12.4372654601,68.381729126,14.0,0.850000023842
NGC2264.19,06h41m01.8s +09d34m33.7s,Isolated,1.54721123686,4.01435780062,0.441745947214,0.38925387224,0.00700000021607,0.00225189002231,,26.6000003815,3.57613968849,4.01435780062,54.6234588623,14.0,0.699999988079
Oph.14,16h27m28.4s -24d27m21.1s,Isolated,1.89409319313,0.950773582472,-0.151108309954,1.00206324384,0.0010000000475,0.000942560960539,0.021304080759,4.25,0.559817016125,0.950773582472,80.9152832031,14.0,0.699999988079
